Year;Month;departement;prix_m2_vente;date
2023;4;34;3869.9161356045424;2023-04-01
2023;4;35;3830.8301382170007;2023-04-01
2023;4;36;1249.8059307359306;2023-04-01
2023;4;37;2629.795744966443;2023-04-01
2023;4;38;3126.2620604026843;2023-04-01
2023;4;39;1748.248125;2023-04-01
2023;4;40;3919.749451754386;2023-04-01
2023;4;41;1882.0513402061856;2023-04-01
2023;4;42;1902.6856463595839;2023-04-01
2023;4;43;1541.9685393258428;2023-04-01
2023;4;44;3850.852430913349;2023-04-01
2023;4;45;2213.0317502365183;2023-04-01
2023;4;46;1726.1198046875;2023-04-01
2023;4;47;1750.8542142857143;2023-04-01
2023;4;48;1477.1318181818183;2023-04-01
2023;4;49;2691.488178913738;2023-04-01
2023;4;50;2182.111775862069;2023-04-01
2023;4;51;2648.6471221532092;2023-04-01
2023;4;52;1158.944598540146;2023-04-01
2023;4;53;1851.1260841423948;2023-04-01
2023;4;54;2073.1714442413163;2023-04-01
2023;4;55;1081.501030927835;2023-04-01
2023;4;56;3304.921338028169;2023-04-01
2023;4;57;2439.4453516090584;2023-04-01
2023;4;58;1170.7820304568527;2023-04-01
2023;4;59;2597.5849248856957;2023-04-01
2023;4;60;2640.765975056689;2023-04-01
2023;4;61;1623.8604487179489;2023-04-01
2023;4;62;2405.776853707415;2023-04-01
2023;4;63;2267.2778406708594;2023-04-01
2023;4;64;4709.183690036901;2023-04-01
2023;4;65;1879.8375728155343;2023-04-01
2023;4;66;2828.316225018505;2023-04-01
2023;4;67;3388.96328990228;2023-04-01
2023;4;68;2755.8703943217665;2023-04-01
2023;4;69;4653.849591261452;2023-04-01
2023;4;70;1177.9076190476192;2023-04-01
2023;4;71;1725.4539293139292;2023-04-01
2023;4;72;1822.4542;2023-04-01
2023;4;73;4158.9802901023895;2023-04-01
2023;4;74;5109.012843472317;2023-04-01
2023;4;75;11127.59340751043;2023-04-01
2023;4;76;2567.7610188679246;2023-04-01
2023;4;77;3374.0731994459834;2023-04-01
2023;4;78;4791.456614561908;2023-04-01
2023;4;79;1501.4941954022988;2023-04-01
2023;4;80;2232.544966139955;2023-04-01
2023;4;81;2005.6866401273885;2023-04-01
2023;4;82;2043.8890314769976;2023-04-01
2023;4;83;4746.347186256781;2023-04-01
2023;4;84;3118.44829106946;2023-04-01
2023;4;85;2964.1000781928756;2023-04-01
2023;4;86;2026.255815085158;2023-04-01
2023;4;87;1536.7337993421054;2023-04-01
2023;4;88;1656.7646643109542;2023-04-01
2023;4;89;1689.3256994818653;2023-04-01
2023;4;90;1998.5035526315787;2023-04-01
2023;4;91;3539.4691270611056;2023-04-01
2023;4;92;7696.073227366966;2023-04-01
2023;4;93;4810.807028423773;2023-04-01
2023;4;94;5556.167052572707;2023-04-01
2023;4;95;3899.401355815554;2023-04-01
2023;4;97;3425.98358974359;2023-04-01
2023;4;na;3924.5399104031853;2023-04-01
2023;5;01;3281.447087818697;2023-05-01
2023;5;02;1576.4640771349862;2023-05-01
2023;5;03;1514.8624054982818;2023-05-01
2023;5;04;2577.456006389776;2023-05-01
2023;5;05;3253.4508680555555;2023-05-01
2023;5;06;6184.6460323741;2023-05-01
2023;5;07;2260.7275061728396;2023-05-01
2023;5;08;1516.2542857142857;2023-05-01
2023;5;09;1675.1651219512194;2023-05-01
2023;5;10;1784.624558303887;2023-05-01
2023;5;11;2328.454443243243;2023-05-01
2023;5;12;1736.9041666666665;2023-05-01
2023;5;13;4362.180653377631;2023-05-01
2023;5;14;3477.774074410163;2023-05-01
2023;5;15;1417.1275229357798;2023-05-01
2023;5;16;1563.9354664179104;2023-05-01
2023;5;17;3622.198533960995;2023-05-01
2023;5;18;1483.1922222222222;2023-05-01
2023;5;19;1608.0281232492998;2023-05-01
2023;5;20;4534.140377358491;2023-05-01
2023;5;21;2560.5936666666666;2023-05-01
2023;5;22;2455.618633802817;2023-05-01
2023;5;23;986.5565625;2023-05-01
2023;5;24;1908.1186031746033;2023-05-01
2023;5;25;2272.287766497462;2023-05-01
2023;5;26;2558.1693464052287;2023-05-01
